date,cbsa_code,city_description,population,actual_murder,actual_all_crimes,actual_index_violent
2014-11-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,11,15411.0,33.975
2014-11-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,20,12469.0,14.487804878048781
2014-11-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,0,0.0,0.0
2014-12-01,12420,"Austin-Round Rock, TX Metro Area",1941049,6,6516.0,10.5
2014-12-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,9,8629.0,7.950980392156863
2014-12-01,17900,"Columbia, SC Metro Area",804684,4,3454.0,5.115384615384615
2014-12-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,35,23477.0,11.833333333333334
2014-12-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,10,8231.0,110.0
2014-12-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,5,6969.0,8.12962962962963
2014-12-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,103,96934.0,137.4814814814815
2014-12-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,20,16263.0,36.475
2014-12-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,15,13710.0,15.012195121951219
2014-12-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,103,97748.0,101.01190476190476
2015-01-01,12420,"Austin-Round Rock, TX Metro Area",2008606,2,6471.0,9.619047619047619
2015-01-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,9,8313.0,7.911764705882353
2015-01-01,17900,"Columbia, SC Metro Area",811574,3,3373.0,4.794871794871795
2015-01-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,26,22239.0,11.607142857142858
2015-01-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,7,8466.0,97.91666666666667
2015-01-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,12,6899.0,8.092592592592593
2015-01-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,0,0.0,0.0
2015-01-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,12,16345.0,36.75
2015-01-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,14,13887.0,14.536585365853659
2015-01-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,0,0.0,0.0
2015-02-01,12420,"Austin-Round Rock, TX Metro Area",2008606,5,6014.0,10.404761904761905
2015-02-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,11,6428.0,5.901960784313726
2015-02-01,17900,"Columbia, SC Metro Area",811574,3,2749.0,3.948717948717949
2015-02-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,13,17550.0,8.851190476190476
2015-02-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,7,7532.0,95.25
2015-02-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,7,5429.0,5.62037037037037
2015-02-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,0,0.0,0.0
2015-02-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,14,14254.0,30.2
2015-02-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,11,12479.0,14.182926829268293
2015-02-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,0,0.0,0.0
2015-03-01,12420,"Austin-Round Rock, TX Metro Area",2008606,4,6540.0,11.261904761904763
2015-03-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,7,8102.0,7.284313725490196
2015-03-01,17900,"Columbia, SC Metro Area",811574,6,3292.0,4.743589743589744
2015-03-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,22,21529.0,11.172619047619047
2015-03-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,8,8313.0,107.83333333333333
